,budget,genres,id,imdb_id,popularity,release_date,revenue,runtime,title,vote_average,vote_count
0,13200000,"['Comedy', 'Drama', 'Romance']",19404,tt0112870,17.437,1995-10-20,100000000,190.0,Dilwale Dulhania Le Jayenge,8.8,2214
1,25000000,"['Drama', 'Crime']",278,tt0111161,35.028,1994-09-23,28341469,142.0,The Shawshank Redemption,8.7,15045
2,6000000,"['Drama', 'Crime']",238,tt0068646,29.433,1972-03-14,245066411,175.0,The Godfather,8.7,11486
3,11363000,"['Comedy', 'Thriller', 'Drama']",496243,tt6751668,176.819,2019-05-30,201055038,132.0,Parasite,8.6,4751
4,22000000,"['Drama', 'History', 'War']",424,tt0108052,19.641,1993-11-30,321365567,195.0,Schindler's List,8.6,9163
5,13000000,"['Drama', 'Crime']",240,tt0071562,22.28,1974-12-20,102600000,202.0,The Godfather: Part II,8.5,6754
6,0,"['Romance', 'Animation', 'Drama']",372058,tt5311514,29.292,2016-08-26,357986087,106.0,Your Name.,8.5,5018
7,19000000,"['Animation', 'Family', 'Fantasy']",129,tt0245429,47.471,2001-07-20,274925095,125.0,Spirited Away,8.5,8562
8,60000000,"['Fantasy', 'Drama', 'Crime']",497,tt0120689,20.562,1999-12-10,286801374,189.0,The Green Mile,8.5,9500
9,8000000,"['Thriller', 'Crime']",680,tt0110912,28.749,1994-09-10,214179088,154.0,Pulp Fiction,8.5,17548
10,20000000,"['Comedy', 'Drama']",637,tt0118799,19.398,1997-12-20,229400000,116.0,Life Is Beautiful,8.5,8243
11,55000000,"['Comedy', 'Drama', 'Romance']",13,tt0109830,23.886,1994-07-06,677387716,142.0,Forrest Gump,8.4,16933
12,185000000,"['Drama', 'Action', 'Crime', 'Thriller']",155,tt0468569,29.006,2008-07-16,1004558444,152.0,The Dark Knight,8.4,21095
13,94000000,"['Adventure', 'Fantasy', 'Action']",122,tt0167260,31.551,2003-12-01,1118888979,201.0,The Lord of the Rings: The Return of the King,8.4,14704
14,2000000,"['Action', 'Drama']",346,tt0047478,20.397,1954-04-26,271841,207.0,Seven Samurai,8.4,1727
15,20000000,"['Drama', 'Crime']",311,tt0087843,23.708,1984-05-23,5300000,229.0,Once Upon a Time in America,8.4,2670
16,25000000,"['Drama', 'Crime']",769,tt0099685,22.875,1990-09-12,46836394,145.0,GoodFellas,8.4,6735
17,0,"['Adventure', 'Comedy']",40096,tt0271383,9.056,2000-09-15,0,104.0,A Dog's Will,8.4,568
18,806948,"['Horror', 'Drama', 'Thriller']",539,tt0054215,20.776,1960-06-22,32000000,109.0,Psycho,8.4,5795
19,350000,['Drama'],389,tt0050083,20.49,1957-04-10,1000000,97.0,12 Angry Men,8.4,4362
20,1200000,['Western'],429,tt0060196,21.193,1966-12-23,25100000,161.0,"The Good, the Bad and the Ugly",8.4,4683
