,budget,genres,id,imdb_id,popularity,release_date,revenue,runtime,title,vote_average,vote_count,gross_profit,ROI (%)
0,13200000,"['Comedy', 'Drama', 'Romance']",19404,tt0112870,17.437,1995-10-20,100000000,190.0,Dilwale Dulhania Le Jayenge,8.8,2214,86800000.0,657.5757575757576
1,25000000,"['Drama', 'Crime']",278,tt0111161,35.028,1994-09-23,28341469,142.0,The Shawshank Redemption,8.7,15045,3341469.0,13.365875999999998
2,6000000,"['Drama', 'Crime']",238,tt0068646,29.433000000000003,1972-03-14,245066411,175.0,The Godfather,8.7,11486,239066411.0,3984.4401833333336
3,11363000,"['Comedy', 'Thriller', 'Drama']",496243,tt6751668,176.81900000000002,2019-05-30,201055038,132.0,Parasite,8.6,4751,189692038.0,1669.3834198715126
4,22000000,"['Drama', 'History', 'War']",424,tt0108052,19.641,1993-11-30,321365567,195.0,Schindler's List,8.6,9163,299365567.0,1360.7525772727274
5,13000000,"['Drama', 'Crime']",240,tt0071562,22.28,1974-12-20,102600000,202.0,The Godfather: Part II,8.5,6754,89600000.0,689.2307692307693
7,19000000,"['Animation', 'Family', 'Fantasy']",129,tt0245429,47.471000000000004,2001-07-20,274925095,125.0,Spirited Away,8.5,8562,255925095.0,1346.9741842105263
8,60000000,"['Fantasy', 'Drama', 'Crime']",497,tt0120689,20.561999999999998,1999-12-10,286801374,189.0,The Green Mile,8.5,9500,226801374.0,378.00229
9,8000000,"['Thriller', 'Crime']",680,tt0110912,28.749000000000002,1994-09-10,214179088,154.0,Pulp Fiction,8.5,17548,206179088.0,2577.2386
10,20000000,"['Comedy', 'Drama']",637,tt0118799,19.398,1997-12-20,229400000,116.0,Life Is Beautiful,8.5,8243,209400000.0,1047.0
11,55000000,"['Comedy', 'Drama', 'Romance']",13,tt0109830,23.886,1994-07-06,677387716,142.0,Forrest Gump,8.4,16933,622387716.0,1131.614029090909
12,185000000,"['Drama', 'Action', 'Crime', 'Thriller']",155,tt0468569,29.006,2008-07-16,1004558444,152.0,The Dark Knight,8.4,21095,819558444.0,443.00456432432435
13,94000000,"['Adventure', 'Fantasy', 'Action']",122,tt0167260,31.551,2003-12-01,1118888979,201.0,The Lord of the Rings: The Return of the King,8.4,14704,1024888979.0,1090.3074244680852
14,2000000,"['Action', 'Drama']",346,tt0047478,20.397000000000002,1954-04-26,271841,207.0,Seven Samurai,8.4,1727,-1728159.0,-86.40795
15,20000000,"['Drama', 'Crime']",311,tt0087843,23.708000000000002,1984-05-23,5300000,229.0,Once Upon a Time in America,8.4,2670,-14700000.0,-73.5
16,25000000,"['Drama', 'Crime']",769,tt0099685,22.875,1990-09-12,46836394,145.0,GoodFellas,8.4,6735,21836394.0,87.34557600000001
